dhtTemp,dhthum,LDR value,rainValue,pressure,altitude,aqi value,rainStatusNum,AQI_Category
29.38,74.53,542,711,1012.88452,-7.37081,62,1,Good
34.38,72.27,606,733,1012.85883,-7.15676,52,1,Good
34.52,82.56,608,697,1012.87604,-7.30047,54,1,Good
34.91,87.46,574,979,1012.87183,-7.2653,43,1,Good
34.95,90.87,567,704,1012.86139,-7.17786,14,1,Good
34.93,90.16,556,628,1013.86139,-6.17786,8,1,Good
35.93,93.37,557,355,1012.81281,-6.77286,197,0,Good
34.72,83.14,558,365,1012.79272,-6.60603,165,0,Good
34.9,82.74,465,351,1012.77612,-6.46734,168,0,Good
34.87,76.02,452,113,1012.76843,-6.40402,252,0,Good
34.81,82.61,461,315,1017.36719,-44.64458,132,0,Good
34.78,79.09,583,328,1017.34564,-44.46634,147,0,Good
34.8,87.55,554,927,1017.30109,-44.09583,179,1,Good
34.82,87.99,214,336,1017.27533,-43.88253,115,0,Good
34.74,97.23,356,487,1017.26208,-43.77237,140,0,Good
34.79,88.28,293,482,1017.24451,-43.62616,156,0,Good
34.77,82.4,288,502,1017.20612,-43.30769,251,1,Good
34.71,79.21,277,379,1017.18158,-43.10439,228,0,Good
34.69,84.71,302,420,1017.18048,-43.09538,170,0,Good
34.33,78.53,401,377,1017.19226,-43.19252,159,0,Good
34.49,78,406,384,1017.245,-43.63016,242,0,Good
34.5,74.94,412,389,1017.27966,-43.91858,274,0,Good
34.54,69.61,340,387,1017.3078,-44.15191,259,0,Good
34.55,78.78,358,902,1017.28424,-43.95663,120,1,Good
34.57,87.18,381,872,1017.26532,-43.79941,136,1,Good
34.58,94.26,346,687,1017.26202,-43.7273,222,1,Good
34.61,92.98,365,645,1017.25659,-43.78839,230,1,Good
34.6,78.18,283,620,1017.26398,-43.85849,217,1,Good
34.59,78.6,373,681,1017.2724,-44.08081,229,1,Good
34.43,77.04,370,638,1017.29919,-44.27708,214,1,Good
33.2,85.08,375,663,1017.32281,-44.41227,111,1,Good
33.18,84.47,361,992,1017.33911,-44.35118,160,1,Good
33.15,77.43,409,616,1017.33185,-44.56948,163,1,Good
23,72.59,393,648,1017.35815,-49.8363,139,1,Good
23,78.13,391,906,1017.9928,-49.67116,142,1,Good
24,82.32,392,934,1017.97284,-49.70419,117,1,Good
23,82.72,385,308,1017.97687,-49.69518,102,0,Good
24,77.2,386,390,1017.97577,-50.09452,108,0,Good
25,74.34,387,488,1018.02393,-50.02946,121,0,Good
26,71.46,400,919,1018.01611,-50.10252,107,1,Good
27,69.3,399,261,1018.02484,-50.08851,118,0,Good
27,72.46,394,931,1018.02313,-50.28667,110,1,Good
26.7,68.39,408,639,1018.04706,-50.80107,114,1,Good
27,67.69,460,634,1018.10907,-50.85312,89,1,Good
22,69.14,456,317,1018.1153,-51.05627,97,0,Good
25,69.44,266,618,1018.13983,-51.42854,100,1,Good
20.6,65.26,264,656,1018.18475,-51.70472,116,1,Good
23.2,69.05,262,621,1018.21796,-51.9789,83,1,Good
22.2,65.22,257,672,1018.25104,-52.71235,112,1,Good
23,60.44,273,619,1018.33954,-53.33369,113,1,Good
23,67.5,269,655,1018.41437,-53.76991,61,1,Good
23,90.13,256,699,1018.46704,-53.98401,90,1,Good
23,90.16,255,637,1018.4928,-54.24012,93,1,Good
24.6,90.17,253,667,1018.52368,-54.38618,47,1,Good
23.1,87.2,102,629,1018.54138,-54.22612,45,1,Good
22.1,79.44,100,313,1018.52203,-54.34217,95,0,Good
22,74.34,109,374,1018.53607,-54.44621,66,0,Good
25,63.59,116,596,1018.54852,83.84582,103,1,Moderate
24.8,56.3,114,608,1001.98206,84.32383,127,1,Moderate
23,61.95,115,602,1001.92517,84.40392,106,1,Moderate
21,65.17,104,607,1001.91565,81.02332,91,1,Moderate
21.1,66.88,123,658,1002.31799,80.82772,101,1,Moderate
23,67.16,118,604,1002.34125,22.58067,96,1,Good
26,69.57,117,642,1009.29413,22.03394,70,1,Good
27,71.68,157,669,1009.35956,21.93769,73,1,Good
27.7,66.73,222,668,1009.37109,18.05498,122,1,Good
27.2,68.39,166,606,1009.83594,18.11844,154,1,Good
24,72.98,133,636,1009.82837,18.14715,149,1,Good
23,72.43,204,617,1009.82495,18.32798,144,1,Good
23,71.3,200,652,1009.80328,18.48414,104,1,Good
25,69.43,192,601,1009.78455,18.55919,215,1,Good
26,70.15,188,698,1009.77557,18.50932,246,1,Good
26.1,73.51,177,771,1009.78156,18.68411,256,1,Good
22.8,72.49,181,289,1009.76062,18.76572,218,0,Good
24,75.32,176,267,1009.75085,18.81962,207,0,Good
24,87.47,173,649,1009.74438,18.80803,211,1,Good
25,92.13,168,646,1009.74579,18.65893,221,1,Good
25.3,83.73,162,653,1009.76361,18.36929,119,1,Good
26,80.14,154,661,1009.79834,18.19249,202,1,Good
26,73.99,163,484,1009.81952,18.15824,210,0,Good
27,75,161,442,1009.82361,18.06455,312,0,Good
27,71.93,160,391,1009.83484,18.21163,270,0,Good
28,67.12,159,678,1009.8172,18.4514,257,1,Good
27,66.38,158,679,1009.78851,18.49874,212,1,Good
29,78.69,156,752,1009.78284,18.65137,287,1,Good
28.1,86.65,557,743,1009.76453,18.72089,204,1,Good
29,81.01,547,755,1009.75623,53.18661,171,1,Moderate
29.2,81.5,530,791,1005.63586,52.94553,157,1,Moderate
26,78.6,570,767,1005.66467,51.16066,67,1,Moderate
30.3,76.78,538,731,1005.87769,51.10608,148,1,Moderate
31,71.92,559,732,1005.88422,50.98734,158,1,Moderate
30.4,72.56,568,733,1005.89838,36.30126,167,1,Good
30.1,63.76,562,734,1007.65283,37.07531,151,1,Good
30.7,67.71,563,735,1007.5603,36.66053,135,1,Good
30.9,71.27,582,736,1007.60986,41.96621,156,1,Good
31.2,71.55,560,737,1006.97577,36.63429,152,1,Good
32,75.38,532,738,1007.61298,43.11381,219,1,Good
