dhtTemp,dhthum,LDR value,pressure,altitude,rainValue,rainStatusNum
24,72.98,133,1009.82837,18.14715,636,1
23,72.43,204,1009.82495,18.32798,617,1
23,71.3,200,1009.80328,18.48414,652,1
25,69.43,192,1009.78455,18.55919,601,1
26,70.15,188,1009.77557,18.50932,698,1
26.1,73.51,177,1009.78156,18.68411,771,1
22.8,72.49,181,1009.76062,18.76572,289,0
24,75.32,176,1009.75085,18.81962,267,0
24,87.47,173,1009.74438,18.80803,649,1
25,92.13,168,1009.74579,18.65893,646,1
25.3,83.73,162,1009.76361,18.36929,653,1
26,80.14,154,1009.79834,18.19249,661,1
26,73.99,163,1009.81952,18.15824,484,0
27,75,161,1009.82361,18.06455,442,0
27,71.93,160,1009.83484,18.21163,391,0
28,67.12,159,1009.8172,18.4514,678,1
27,66.38,158,1009.78851,18.49874,679,1
29,78.69,156,1009.78284,18.65137,752,1
28.1,86.65,557,1009.76453,18.72089,743,1
29,81.01,547,1009.75623,53.18661,755,1
29.2,81.5,530,1005.63586,52.94553,791,1
26,78.6,570,1005.66467,51.16066,767,1
30.3,76.78,538,1005.87769,51.10608,731,1
31,71.92,559,1005.88422,50.98734,732,1
30.4,72.56,568,1005.89838,36.30126,733,1
30.1,63.76,562,1007.65283,37.07531,734,1
30.7,67.71,563,1007.5603,36.66053,735,1
30.9,71.27,582,1007.60986,41.96621,736,1
31.2,71.55,560,1006.97577,36.63429,737,1
32,75.38,532,1007.61298,43.11381,738,1
31.6,70.02,548,1006.83868,36.86086,739,1
30.8,74.36,531,1007.58594,36.68222,740,1
32,75.35,603,1007.60724,36.2392,741,1
32.3,68.78,592,1007.66022,36.43144,742,1
33,74.06,573,1007.63727,35.79568,743,1
32.1,74.85,576,1007.71326,36.88407,744,1
32.3,65.84,590,1007.58313,36.11154,745,1
32.3,66.12,581,1007.67548,36.23768,746,1
33,74.54,594,1007.6604,36.25282,747,1
35.1,69.73,553,1007.65857,36.23466,748,1
35.6,69.5,571,1007.66077,36.04796,749,1
35.5,73.55,523,1007.68311,36.05402,750,1
35.2,77.78,529,1007.68237,36.51823,751,1
35,75.61,525,1007.62689,35.91325,752,1
34.3,82.13,513,1007.69922,35.8754,753,1
34.6,75.21,527,1007.70374,36.43346,754,1
34.2,73.3,499,1007.63702,36.22154,755,1
35,68.36,534,1007.66235,36.58585,756,1
34,66.63,496,1007.61877,36.40066,757,1
33,66.54,528,1007.64093,36.8003,758,1
32.2,65.76,521,1007.59314,36.91939,759,1
34,66.97,545,1007.57892,37.03141,760,1
37,66.28,533,1007.56555,36.73672,761,1
35.2,63.17,524,1007.60077,36.6908,762,1
33.4,70.21,549,1007.60626,36.69232,763,1
33,61.1,535,1007.60608,36.49401,764,1
33,60.54,503,1007.62976,36.81796,765,1
33,62.81,505,1007.59106,36.72764,766,1
